,Ticker,Name ,Fund Objective ,12b-1 Fee ,Back Load ,Expense Ratio ,Front Load ,,
1,AAAGX,THRIVENT LARGE CAP GROWTH-A,Growth Large Cap,0.25,1,1.2,5.5,2015-09-01 12:00:00,2015-09-01 12:00:00
2,AAANX,HORIZON ACTIVE ASSET ALLOC-N,Global Allocation,0,0,1.42,0,2015-09-01 12:00:00,2015-09-01 12:00:00
3,AABCX,PUTNAM DYN ASST ALLOC BAL-C,Moderate Allocation,1,1,1.74,0,2015-09-01 12:00:00,2015-09-01 12:00:00
4,AABDX,AMERICAN BEACON INTD BOND-IN,Aggregate Bond Intermediate,0,0,0.32,0,2015-09-01 12:00:00,2015-09-01 12:00:00
5,AABFX,THRIVENT BALANCE INC PL-A,Moderate Allocation,0.25,1,1.09,5.5,2015-09-01 12:00:00,2015-09-01 12:00:00
6,AACFX,INVESCO GREATER CHINA-A,China,0.25,0,1.85,5.5,2015-09-01 12:00:00,2015-09-01 12:00:00
7,AACXX,ACTIVE ASSETS CALIF T/F TRST,Tax Exempt California (US),0.1,0,0.07,0,2015-09-01 12:00:00,2015-09-01 12:00:00
8,AADBX,AMERICAN BEACON BALANCED-IS,Moderate Allocation,0,0,0.58,0,2015-09-01 12:00:00,2015-09-01 12:00:00
9,AADDX,ALPINE ACCELERATING DIV-I,Blend Large Cap,0,0,1.35,0,2015-09-01 12:00:00,2015-09-01 12:00:00
10,AADEX,AMERICAN BEACON L/C VALU-IS,Value Large Cap,0,0,0.58,0,2015-09-01 12:00:00,2015-09-01 12:00:00
11,AAEMX,ALGER EMERGING MARKETS-A,Emerging Market Stock,0.25,0,1.7,5.25,2015-09-01 12:00:00,2015-09-01 12:00:00
12,AAGXX,ACTIVE ASSETS GOVT SEC TRUST,Taxable Govt/Agency (US),0.1,0,0.08,0,2015-09-01 12:00:00,2015-09-01 12:00:00
13,AAHMX,ALPINE HI YLD MGD DUR-A,Muni High Yield,0.25,0,1.06,2.5,2015-09-01 12:00:00,2015-09-01 12:00:00
14,AAHYX,THRIVENT DIVERSF INC PLUS-A,Dynamic Allocation,0.25,1,0.98,4.5,2015-09-01 12:00:00,2015-09-01 12:00:00
15,AAIEX,AMERICAN BEACON INTL EQT-IS,Foreign Blend,0,0,0.7,0,2015-09-01 12:00:00,2015-09-01 12:00:00
16,AAIFX,ANCHOR ALTERNATIVE INCOME-Y,Multi Strategy,0,0,0,0,2015-09-01 12:00:00,2015-09-01 12:00:00
17,AAINX,THRIVENT OPPORT INC PL-A,Aggregate Bond,0.25,1,0.85,4.5,2015-09-01 12:00:00,2015-09-01 12:00:00
18,AALGX,THRIVENT LARGE CAP STOCK-A,Blend Large Cap,0.25,1,1.05,5.5,2015-09-01 12:00:00,2015-09-01 12:00:00
19,AALIX,ASTON/HERNDON L/C VALUE-N,Value Large Cap,0.25,0,1.23,0,2015-09-01 12:00:00,2015-09-01 12:00:00
20,AALVX,THRIVENT PART S/C VAL-A,Value Small Cap,0.25,1,1.32,5.5,2015-09-01 12:00:00,2015-09-01 12:00:00
21,AAMBX,THRIVENT MUNICIPAL BOND-A,Muni National Long,0.25,1,0.74,4.5,2015-09-01 12:00:00,2015-09-01 12:00:00
22,AAMRX,AMERICAN BEACON EMERG MK-AMR,Emerging Market Stock,0,0,1.29,0,2015-09-01 12:00:00,2015-09-01 12:00:00
23,AAMXX,ACTIVE ASSETS MONEY TRUST,Taxable First Tier (US),0.1,0,0.18,0,2015-09-01 12:00:00,2015-09-01 12:00:00
24,AAOXX,AMERICAN BEACON US GVT MM-SE,Taxable Govt/Agency (US),0,0,0.11,0,2015-09-01 12:00:00,2015-09-01 12:00:00
25,AAPEX,ABERDEEN ASIA-PAC XJ-INS SRV,Asian Pacific Region ex Japan,0,0,1.3,0,2015-09-01 12:00:00,2015-09-01 12:00:00
26,AASBX,AMERICAN BEACON S/T BOND-IN,Aggregate Bond Short,0,0,0.37,0,2015-09-01 12:00:00,2015-09-01 12:00:00
27,AASCX,THRIVENT MID CAP STOCK-A,Growth Mid Cap,0.25,1,1.15,5.5,2015-09-01 12:00:00,2015-09-01 12:00:00
